Stuhl; a cadeira

langsam; lento
schnell; rápido

Möglichkeit, Wahrscheinlichkeit; a possibilidade
Boss; o chefe
Anliegen, List; o desejo

abhängig; dependente
abhängig von; dependente de

Bedingung, Voraussetzung; a condição

arbeiten; trabalhar
Arbeit; a trabalho

spielen (Instrument); tocar
lieber mögen, bevorzugen; preferir
folgen, gehorchen, seguir

aufstehen; levantar-se
sich hinlegen; deitar-se
sich waschen; lavar-se
sich ärgern; zangar-se
sich setzen; sentar-se
vorkommen, sich treffen; encontrar-se
sich ausziehen; despir-se
sich anziehen; vestir-se

Wetter, Zeit; o tempo
Geschwindigkeit; a velcidade
Stadt; a cidade
Schule; a escola
Sprache, Zunge; a língua

Angenehm!; muito prazer
Eltern; os pais
Kind; a criança

Niveau; o nível

verstehen; entender
sich vertragen; entender-se
anfangen; começar

Universität; a universidade
Familie; a família

fragen; interrogar

Bus; o autocarro

vorbereiten; preparar

begrüßen; cumprimentar
sich die Hand geben; cumprimentar-se

sagen, reden; dizer

Ausnahme; a excepção

Straße; a rua
Arznei; o medicamento
Gebäude, Hochhaus; o prédio
Apotheke; a farmácia
Briefmarke; o selo
Garten; o jardim
Film; o filme
Konditorei; a pastelaria
Bank; o banco
Hotel; o hotel
Supermarkt; o supermercado
Post; os correios
Kino; o cinema
Haltestelle; a paragem
Zebrastreifen; a passadeira
Alee, Hauptstraße; a avenida
Krankenhaus; o hospital
Umgebung, Umwelt; os arredores

dort, da; ali
daneben, neben; ao lado
gegenüber, vor; em frente
nah; perto
gelegentlich; às vezes

immer; sempre
während; durante
vorher, früher; antes
früh; cedo

ohne; sem
mit; com

Wasser; a água

entschuldigen Sie bitte; desculpe

Mittag; o meio-dia
Mitternacht; a meia-noite

Imbiss; o lanche
Kantine; a cantina

reden, plaudern; conversar
hören; ouvir
tanzen; dançar
baden; tomar um banho

Bad; o banho

Gespräch; a conversa

Witwe; a viúva
Woche; a semana
Wochenende; o fim-de-semana
